Timestamp,PM2.5,PM10,CO,O3,StationFile
01-01-2020,,,,,bengaluru_combined.csv
02-01-2020,43.67,134.0,0.91,21.82,bengaluru_combined.csv
03-01-2020,30.58,74.42,0.96,23.31,bengaluru_combined.csv
04-01-2020,66.35,155.68,2.54,29.7,bengaluru_combined.csv
05-01-2020,48.0,99.13,1.14,31.01,bengaluru_combined.csv
06-01-2020,23.75,63.34,1.08,25.82,bengaluru_combined.csv
07-01-2020,24.67,72.0,0.98,30.37,bengaluru_combined.csv
08-01-2020,34.18,79.06,0.99,29.61,bengaluru_combined.csv
09-01-2020,41.61,98.0,1.11,30.97,bengaluru_combined.csv
10-01-2020,38.95,97.7,0.97,31.89,bengaluru_combined.csv
11-01-2020,34.05,77.56,1.01,34.36,bengaluru_combined.csv
12-01-2020,39.12,75.93,0.96,44.84,bengaluru_combined.csv
13-01-2020,,,,,bengaluru_combined.csv
14-01-2020,,,,,bengaluru_combined.csv
15-01-2020,,,,,bengaluru_combined.csv
16-01-2020,38.0,93.0,0.68,16.18,bengaluru_combined.csv
17-01-2020,42.96,112.6,1.38,26.75,bengaluru_combined.csv
18-01-2020,26.8,59.0,1.02,31.02,bengaluru_combined.csv
19-01-2020,22.19,56.56,0.97,39.56,bengaluru_combined.csv
20-01-2020,34.24,100.22,1.1,31.6,bengaluru_combined.csv
21-01-2020,37.5,102.51,1.16,29.45,bengaluru_combined.csv
22-01-2020,34.48,86.75,1.11,34.25,bengaluru_combined.csv
23-01-2020,46.65,98.18,1.09,33.52,bengaluru_combined.csv
24-01-2020,38.05,96.7,1.16,40.62,bengaluru_combined.csv
25-01-2020,48.78,112.69,1.26,29.72,bengaluru_combined.csv
26-01-2020,51.86,111.57,1.29,25.68,bengaluru_combined.csv
27-01-2020,74.23,169.38,1.97,25.19,bengaluru_combined.csv
28-01-2020,61.95,162.59,1.62,24.9,bengaluru_combined.csv
29-01-2020,59.67,140.87,1.39,25.4,bengaluru_combined.csv
30-01-2020,72.46,191.19,1.93,24.72,bengaluru_combined.csv
31-01-2020,53.61,133.86,1.31,36.37,bengaluru_combined.csv
01-02-2020,57.62,112.99,0.99,40.39,bengaluru_combined.csv
02-02-2020,41.16,82.0,0.9,30.25,bengaluru_combined.csv
03-02-2020,36.32,89.84,1.06,36.14,bengaluru_combined.csv
04-02-2020,34.42,90.27,1.06,37.66,bengaluru_combined.csv
05-02-2020,34.2,82.97,1.04,34.19,bengaluru_combined.csv
06-02-2020,45.36,101.46,1.28,32.46,bengaluru_combined.csv
07-02-2020,60.29,132.17,1.29,36.41,bengaluru_combined.csv
08-02-2020,56.24,133.18,1.38,34.83,bengaluru_combined.csv
09-02-2020,42.09,85.5,0.96,43.23,bengaluru_combined.csv
10-02-2020,36.13,84.37,1.02,35.28,bengaluru_combined.csv
11-02-2020,38.0,95.19,1.09,36.65,bengaluru_combined.csv
12-02-2020,37.86,85.53,1.02,31.28,bengaluru_combined.csv
13-02-2020,39.13,100.44,1.28,38.64,bengaluru_combined.csv
14-02-2020,52.4,125.07,1.87,40.61,bengaluru_combined.csv
15-02-2020,56.35,130.38,1.62,33.98,bengaluru_combined.csv
16-02-2020,41.71,91.29,1.12,34.55,bengaluru_combined.csv
17-02-2020,44.28,101.74,1.43,47.27,bengaluru_combined.csv
18-02-2020,43.68,95.16,1.15,51.71,bengaluru_combined.csv
19-02-2020,45.45,99.09,1.03,34.7,bengaluru_combined.csv
20-02-2020,48.49,101.79,1.02,30.09,bengaluru_combined.csv
21-02-2020,30.5,67.75,0.94,38.24,bengaluru_combined.csv
22-02-2020,33.7,79.15,0.96,41.95,bengaluru_combined.csv
23-02-2020,37.16,86.35,1.0,33.31,bengaluru_combined.csv
24-02-2020,38.52,94.0,1.08,32.83,bengaluru_combined.csv
25-02-2020,42.18,108.38,1.1,38.66,bengaluru_combined.csv
